Fundo de Capital de Risco/Entidade Veiculo,NIF,Designacao da Empresa,CAE,Data do Investimento,Capital aplicado em PME a 12/14,FCR a 31 Dezembro de 2015,Investimento PME Investimento 280916,FCR Revitalizar,Linha de Business Angels a 12/15,Total,Tipologia do FCR
16147 - FCR Minho Inovacao & Internacionalizacao,513249141,"FANTASTIKPEOPLE (DOCTORGUMMY, LDA)",72110,30-09-2014,163000,"162,500.00","162,500.00",,,"162,500.00",
16142 - FCR Novabase Capital,508771862,"Feedzai, Consultadoria e Inovacao Tecnologica, S.A.",62010,05-05-2011,630000,"630,000.00","630,000.00",,,"630,000.00",
16143 - FCR Novabase Capital,508979366,Wizdee,62010,12-05-2014,120000,"260,000.04","260,000.04",,,"260,000.04",
16144 - FCR Novabase Capital,509766358,"PowerGrid, Lda",62010,08-11-2011,2450000,"2,450,000.00","2,450,000.00",,,"2,450,000.00",
16145 - FCR Novabase Capital,510302262,"Invincible Code, Lda. (DTV Research)",62010,29-06-2012,2500000,"2,500,000.00","2,500,000.00",,,"2,500,000.00",
16146 - FCR Novabase Capital,510343856,"Bright Innovation, Lda (exParallelGrowth, Lda)",82110,20-07-2012,1500000,"1,500,000.00","1,500,000.00",,,"1,500,000.00",
16147 - FCR Novabase Capital,510465878,Smartgeo,62020,22-01-2013,100000,"100,000.00","100,000.00",,,"100,000.00",
16148 - FCR Novabase Capital,513136444,CityPulse (Talento e Raciocinio),62010,06-06-2014,1500000,"2,500,000.00","2,500,000.00",,,"2,500,000.00",
16149 - FCR Novabase Capital,513231412,"Livian Technologies, Lda",62010,25-09-2014,1500000,"2,500,000.00","2,500,000.00",,,"2,500,000.00",
16146 - FCR Critical Ventures I,508339855,"Critical Materials, Lda",62020,21-11-2011,321000,"600,000.00","600,000.00",,,"600,000.00",
16147 - FCR Critical Ventures I,508805759,"Critical Health, SA (RETMARKER, S.A.)",58290,01-07-2011,901000,"900,852.00","900,852.00",,,"900,852.00",
16148 - FCR Critical Ventures I,509961320,"Bluecaring, SA",58290,18-03-2014,110000,"360,402.00","360,402.00",,,"360,402.00",
16149 - FCR Critical Ventures I,510343350,"WFSW, S.A (WatchFull)",62020,24-09-2012,1000000,"1,000,000.00","1,000,000.00",,,"1,000,000.00",
16150 - FCR Critical Ventures I,510447147,"CBRA Genomics, S.A.",72110,01-07-2013,450000,,"499,993.18",,,"499,993.18",
FCR PV Biocant ,507586557,Gene Predict,72110,27-09-2012,151000,"390,500.00","390,500.00",,,"390,500.00",
FCR PV Biocant ,509293077,"Treat U, S.A.",72110,26-07-2013,422000,,"760,000.00",,,"760,000.00",
FCR PV Biocant ,510447147,"CBRA Genomics, S.A. ",72110,01-07-2013,320000,,"594,999.91",,,"594,999.91",
FCR PV Biocant ,510642926,Perceive 3D ,72190,29-07-2013,264000,"432,500.03","432,500.03",,,"432,500.03",
16149 - FCR ASK Capital ,509655300,"Altaktin, S.A",72110,06-09-2011,496000,"495,863.00","900,852.00",,,"900,852.00",
16150 - FCR ASK Capital,509967400,Greenfibertech ,16295,26-03-2013,320000,"715,000.00","715,000.00",,,"715,000.00",
16152 - FCR PV Universitas ,509822070,"Babybook,S.A.",62010,13-01-2014,165000,"342,750.34","342,750.34",,,"342,750.34",
16153 - FCR PV Universitas,509984568,Youngstories,58290,03-06-2013,250000,"950,000.00","950,000.00",,,"950,000.00",
16154 - FCR PV Universitas,509987184,Aptoide,58290,31-05-2013,320000,"700,000.00","700,000.00",,,"700,000.00",
16155 - FCR PV Universitas,513002111,"Passworks, SA ",62090,28-02-2014,300000,"500,000.00","500,000.00",,,"500,000.00",
16154 - FCR PV ACTEC ,509594107,"Biomode, SA ",72110,28-12-2011,195000,"300,000.04","300,000.04",,,"300,000.04",
16155 - FCR PV ACTEC,509895948,Omniflow,72190,14-06-2012,385000,"825,500.02","825,500.02",,,"825,500.02",
16156 - FCR PV ACTEC,509923275,"Pharma 73, SA ",21100,30-12-2011,261000,"285,000.00","285,000.00",,,"285,000.00",
16157 - FCR PV ACTEC,510091083,"Abyssal, SA ",62090,19-01-2012,300000,"300,000.15","300,000.15",,,"300,000.15",
16158 - FCR PV ACTEC,510695833,"Lymphact, SA ",72110,03-06-2013,164000,"414,258.79","414,258.79",,,"414,258.79",
16159 - FCR PV ACTEC,510942571,Xhockware,62090,18-02-2014,245000,,,,,"245,000.00",
16155 - FCR ISTART I ,509756638,"Equigerminal, lda ",72110,08-03-2012,220000,"250,000.00","250,000.00",,,"250,000.00",
16156 - FCR ISTART I,509992544,"Laserleap Tecnhologies, S.A. ",72190,31-07-2013,300000,,"300,000.00",,,"300,000.00",
16157 - FCR ISTART I,510252362,"Ecofoot, S.A. ",20120,29-07-2013,158000,,"159,592.00",,,"159,592.00",
16158 - FCR ISTART I,510434126,SakProject Internacional ,32994,27-02-2014,200000,"200,000.00","200,000.00",,,"200,000.00",
16159 - FCR ISTART I,510575994,"Heart Genetics and Biotechnology, S.A. ",72190,01-04-2013,293000,"166,404.84","166,404.84",,,"166,404.84",
16159 - FCR FAST Change II ,509221785,"EIDT - ENGENHARIA, INOVAcaO E DESENVOLVIMENTO TECNOLoGICO, SA",43221,06-03-2012,211000,"350,000.00","350,000.00",,,"350,000.00",
16160 - FCR FAST Change II,509687040,"CELL2B – Advanced Therapeutics, S.A. ",72110-R3,10-08-2012,360000,"414,545.45","414,545.45",,,"414,545.45",
16161 - FCR FAST Change II,509720765,"CONVERDE, S.A. ",20152,20-08-2012,1000000,"1,000,000.00","1,000,000.00",,,"1,000,000.00",
16162 - FCR FAST Change II,510177026,"Streambolico, SA ",62010,16-09-2013,295000,"294,667.16","294,667.16",,,"294,667.16",
16163 - FCR FAST Change II,510257127,5ENSESINFOOD,10860,27-06-2013,490000,"700,000.00","700,000.00",,,"700,000.00",
16164 - FCR FAST Change II,513002901,"Chromoperformance, Lda (biomode 2)",72110,29-09-2014,431000,"900,000.00","900,000.00",,,"900,000.00",
32822 - FCR Revitalizar Norte ,509280285,Nmusic S.A.,58290,04-11-2013,3000000,,,"4,500,000.00",,"4,500,000.00",
32823 - FCR Revitalizar Centro,508771862,Feedzai - Consultadoria e Inovacao Tecnologica S.A.,62010,19-05-2014,1500000,,,"3,000,000.00",,"3,000,000.00",
32823 - FCR Revitalizar Centro ,509687040,Cell2B − Advanced Therapeutics SA ,72110,01-12-2014,1272000,,,,,"1,272,000.00",
FCR Portugal Ventures ACTEC II,,Thelial Technologies S.A.,,,,"179,401.00","179,401.00",,,"179,401.00",Pre-Seed
FCR Istart I,,"Muzzley - Desenvolvimento de Solucoes Digitais, S.A",,,,"300,000.00","300,000.00",,,"300,000.00",Pre-Seed
FCR Novabase Capital Inovacao e Internacionalizacao,,"Power Data, Lda.",,,,"250,000.00","250,000.00",,,"250,000.00",Early Stage
FCR Novabase Capital Inovacao e Internacionalizacao,,"Radical Innovation, Lda.",,,,"1,000,000.00","1,000,000.00",,,"1,000,000.00",Early Stage
FCR Portugal Ventures Internacionalizacao,,"Epedal, SGPS S.A.",,,,"1,250,214.03","1,250,214.03",,,"1,250,214.03",Inovacao e Internacionalizacao
FCR PME / Novo Banco,,"Epedal, SGPS S.A.",,,,"1,250,215.10","1,250,215.10",,,"1,250,215.10",Inovacao e Internacionalizacao
FCR Istart I,,"Qamine Portugal, S.A.",,,,"275,000.00","275,000.00",,,"275,000.00",Pre-Seed
FCR Portugal Ventures Internacionalizacao,,"Jscrambler, S.A.",,,,"1,300,000.00","1,300,000.00",,,"1,300,000.00",Inovacao e Internacionalizacao
FCR Portugal Ventures Early Stage,,"PETSYS Electronics - Medical Pet Detectors, S.A.",,,,"800,000.01","800,000.01",,,"800,000.01",Early Stage
FCR Portugal Ventures Universitas,,"PETSYS Electronics - Medical Pet Detectors, S.A.",,,,"114,999.99","114,999.99",,,"114,999.99",Early Stage
FCR Portugal Ventures Internacionalizacao,,"Wizdee-Sistemas De Gestao De Conhecimento, S.A.",,,,"1,250,000.02","1,250,000.02",,,"1,250,000.02",Inovacao e Internacionalizacao
FCR Portugal Ventures Turismo Inovacao,,"ICLIO, S.A.",,,,"1,250,000.00","1,250,000.00",,,"1,250,000.00",Inovacao e Internacionalizacao
FCR Portugal Ventures ACTEC II,,"Xhockware, S.A.",,,,"1,145,000.00","1,145,000.00",,,"1,145,000.00",Pre-Seed
FCR Portugal Ventures Turismo Inovacao,,"FRIDAY: CIeNCIA E ENGENHARIA DO LAZER, S.A.",,,,"1,000,000.00","1,000,000.00",,,"1,000,000.00",Inovacao e Internacionalizacao
FCR Portugal Ventures Turismo Inovacao,,"Fairway, Medical Tourism Portugal, S.A.",,,,"440,400.00","440,400.00",,,"440,400.00",Inovacao e Internacionalizacao
FCR Portugal Ventures Internacionalizacao,,Nutri Ventures Corporation - Nvc S.A.,,,,"1,250,000.00","1,250,000.00",,,"1,250,000.00",Inovacao e Internacionalizacao
FCR Beta Ciencias da Vida,,"Magnomics, S.A.",,,,"55,600.00","55,600.00",,,"55,600.00",Pre-Seed
FCR Portugal Ventures Turismo Inovacao,,"Wedeliverawesomeapps, S.A.",,,,"1,725,000.00","1,725,000.00",,,"1,725,000.00",Inovacao e Internacionalizacao
FCR Portugal Ventures Early Stage,,"Amanha Global, S.A.",,,,"450,000.00","450,000.00",,,"450,000.00",Early Stage
FCR Ask Capital,,"Babybook, S.A.",,,,"165,000.00","165,000.00",,,"165,000.00",Early Stage
FCR Portugal Ventures Internacionalizacao,,"Science4you, S.A.",,,,"1,500,000.00","1,500,000.00",,,"1,500,000.00",Inovacao e Internacionalizacao
FCR Portugal Ventures Internacionalizacao,,"Shiftforward, S.A.",,,,"750,000.00","750,000.00",,,"750,000.00",Inovacao e Internacionalizacao
FCR Portugal Ventures Internacionalizacao,,"Kinematix Sense, S.A.",,,,"1,500,000.00","1,500,000.00",,,"1,500,000.00",Inovacao e Internacionalizacao
FCR Portugal Ventures Internacionalizacao,,"Moodoptic, S.A.",,,,"1,170,000.00","1,170,000.00",,,"1,170,000.00",Inovacao e Internacionalizacao
FCR Portugal Ventures Turismo Inovacao,,"Maps With Life, S.A.",,,,"325,000.01","325,000.01",,,"325,000.01",Inovacao e Internacionalizacao
FCR Ask Capital,,"Turflynx, Lda",,,,"300,000.00","300,000.00",,,"300,000.00",Early Stage
FCR Ask Celta,,"ECT - Business Oportunity, Compra E Venda De Viaturas, Lda",,,,"400,000.00","400,000.00",,,"400,000.00",Inovacao e Internacionalizacao
FCR Minho Inovacao e Internacionalizacao,,Wise Connect S.A.,,,,"500,000.00","500,000.00",,,"500,000.00",Inovacao e Internacionalizacao
FCR Ask Celta,,"Gum Chemical Solutions, S.A.",,,,"1,000,000.00","1,000,000.00",,,"1,000,000.00",Inovacao e Internacionalizacao
FCR Portugal Ventures Early Stage,,"Youngstories, S.A.",,,,"1,000,000.00","1,000,000.00",,,"1,000,000.00",Early Stage
FCR Portugal Ventures ACTEC II,,"Top Research, S.A.",,,,"590,000.00","590,000.00",,,"590,000.00",Pre-Seed
FCR Minho Inovacao e Internacionalizacao,,"Top Research, S.A.",,,,"340,000.00","340,000.00",,,"340,000.00",Inovacao e Internacionalizacao
FCR Portugal Ventures ACTEC II,,Bullet Solutions - Sistemas De Informacao S.A.,,,,"520,000.00","520,000.00",,,"520,000.00",Pre-Seed
FCR Portugal Ventures Universitas,,"PEPFEED, S,A",,,,"250,000.00","250,000.00",,,"250,000.00",Early Stage
FCR Portugal Ventures Turismo Inovacao,,"Mygon, S.A.",,,,"700,000.00","700,000.00",,,"700,000.00",Inovacao e Internacionalizacao
FCR Portugal Ventures Biocant,,"Immunethep, S.A.",,,,"750,000.00","750,000.00",,,"750,000.00",Corporate Venture
FCR Minho Inovacao e Internacionalizacao,,"Watt-Is, S.A.",,,,"400,000.00","400,000.00",,,"400,000.00",Inovacao e Internacionalizacao
FCR Portugal Ventures Early Stage,,"Webankor, S.A.",,,,"500,000.00","500,000.00",,,"500,000.00",Early Stage
FCR Portugal Ventures ACTEC II,,"Possible Answer , S.A.",,,,"352,750.00","352,750.00",,,"352,750.00",Pre-Seed
FCR Portugal Ventures Internacionalizacao,,"Beyondevices, S.A.",,,,"460,000.00","460,000.00",,,"460,000.00",Inovacao e Internacionalizacao
FCR Portugal Ventures Internacionalizacao,,"Aptoide, S.A.",,,,"500,000.01","500,000.01",,,"500,000.01",Inovacao e Internacionalizacao
FCR Portugal Ventures Internacionalizacao,,"Follow Inspiration, S.A.",,,,"650,000.00","650,000.00",,,"650,000.00",Inovacao e Internacionalizacao
FCR Ask Celta,,"Petapilot, S.A.",,,,"500,000.00","500,000.00",,,"500,000.00",Inovacao e Internacionalizacao
FCR Portugal Ventures Early Stage,,"Cubo - Environmental Techonolgies, S.A.",,,,"310,000.00","310,000.00",,,"310,000.00",Early Stage
FCR Portugal Ventures Internacionalizacao,,"Graphenest, S.A.",,,,"250,000.00","250,000.00",,,"250,000.00",Inovacao e Internacionalizacao
FCR Beta Ciencias da Vida,,"Heartgenetics Genetics And Biotechnology, S.A.",,,,"250,000.00","250,000.00",,,"250,000.00",Pre-Seed
FCR Portugal Ventures Early Stage,,Morning Heroes S.A.,,,,"700,000.00","700,000.00",,,"700,000.00",Early Stage
FCR Portugal Ventures Internacionalizacao,,"Tuizzi, S.A.",,,,"200,000.10","200,000.10",,,"200,000.10",Inovacao e Internacionalizacao
FCR Portugal Ventures ACTEC II,,"MICE - Molds And Injected Components Engineering, S.A.",,,,"50,000.00","50,000.00",,,"50,000.00",Pre-Seed
FCR Portugal Ventures Internacionalizacao,,"Bloomers, S.A.",,,,"450,000.00","450,000.00",,,"450,000.00",Inovacao e Internacionalizacao
FCR Istart I,,"Fastinov, S.A.",,,,"300,000.00","300,000.00",,,"300,000.00",Pre-Seed
FCR Portugal Ventures Biocant,,"Peek Health, S.A.",,,,"400,000.00","400,000.00",,,"400,000.00",Corporate Venture
FCR Fast Change II,,"Sword Health, S.A.",,,,"400,000.00","400,000.00",,,"400,000.00",Early Stage
FCR Fast Change II,,"Exogenus Therapeutics, S.A.",,,,"250,000.00","250,000.00",,,"250,000.00",Early Stage
FCR Portugal Ventures Biocant,,"Luzitin, S.A.",,,,"320,465.00","320,465.00",,,"320,465.00",Corporate Venture
FCR Portugal Ventures ACTEC II,,"Changing Experience, S.A.",,,,"500,000.00","500,000.00",,,"500,000.00",Pre-Seed
FCR Capital Criativo I,,"CardMobili - Desenvolvimento de Software, S.A.",,,,,"1,150,000.00",,,"1,150,000.00",Inovacao e Internacionalizacao
FCR Portugal Ventures Universitas,,"Functional Enviromics Technologies, S.A.",,,,,"410,000.00",,,"410,000.00",Early Stage
FCR Portugal Ventures ACTEC II,,"G3P Technologies - Investigacao, Desenvolvimento e Inovacao, S.A.",,,,,"363,000.00",,,"363,000.00",Pre-Seed
FCR Capital Criativo I,,E.A.D. - Empresa de Arquivo e Documentacao S.A.,,,,,"2,000,000.00",,,"2,000,000.00",Inovacao e Internacionalizacao
FCR Capital Criativo I,,"Balflex Portugal - Componentes Hidraulicos e Industriais, S.A.",,,,,"3,000,000.00",,,"3,000,000.00",Inovacao e Internacionalizacao
FCR Portugal Ventures ACTEC II,,"Perceive3D, S.A.",,,,"700,000.01","700,000.01",,,"700,000.01",Pre-Seed
"A2B, SGPS",509756638,Equigerminal Lda,72110,15-03-2012,220000,,,,"220,000.00","220,000.00",
Blue Early Investments Investments,509081517,"Waymedia, S.A.",63120,07-05-2012,50000,,,,"50,000.00","50,000.00",
BrainCapital,510675565,"Sword Health Lda (Stroke of Genius, Lda)",27900,12-03-2014,150000,,,,"275,000.00","275,000.00",
BrainInvest,510257127,"5ensesInFood, S.A.",10860,25-06-2013,70000,,,,"100,000.00","100,000.00",
Brains2Market,508993970,ZUVINOVA S. A.,58140,01-07-2011,75000,,,,"75,005.90","75,005.90",
Busy Angels,508991390,IClio,63110,28-07-2014,117000,,,,"116,667.00","116,667.00",
Busy Angels,508993970,ZUVINOVA,58140,01-07-2011,161000,,,,"160,771.00","160,771.00",
Busy Angels,509061907,"Lusoeduc - Informacao e Servicos, SA",62090,20-12-2012,183000,,,,"232,620.00","232,620.00",
Busy Angels,509984568,"Youngstories, Lda",58290,11-02-2013,70000,,,,"70,000.00","70,000.00",
Busy Angels,509992544,"Laserleap Technologies, S.A.",72190,30-07-2013,130000,,,,"130,000.00","130,000.00",
Busy Angels,510346812,"Faber Ventures, S.A.",62090,19-12-2013,61000,,,,"60,630.75","60,630.75",
Busy Angels,510434126,"SAK Project International, SA ",32994,19-11-2012,174000,,,,"173,920.00","173,920.00",
Busy Angels,510603556,"Fairway Medical Tourism Portugal, SA",63110,19-03-2013,90000,,,,"40,000.00","40,000.00",
Busy Angels,510695833,"Lymphact - Lymphocyte Activation Technologies, S.A.",72110,31-05-2013,66000,,,,"116,401.00","116,401.00",
Eggnest,510603556,"Fairway Medical Tourism Portugal, SA",63110,19-03-2013,90000,,,,"139,999.00","139,999.00",
"EV Tecsaude, SGPS, SA",510077072,"Formula da Avo, Lda",72110,24-01-2013,92000,,,,,"92,000.00",
Go Big or Go Home,508080991,"EcoChoice, SA",82990,28-12-2010,400000,,,,"400,000.00","400,000.00",
IA - FCI - Ciencias da Vida,510257127,"5ensesInFood, S.A.",10860,25-06-2013,140000,,,,"200,000.00","200,000.00",
IA - FCI - TICE,509820638,Tuizzi Lda,63110,21-05-2013,168000,,,,"249,999.94","249,999.94",
"Iniciativa Nobre, Lda",508080991,"EcoChoice, SA",82990,28-12-2010,200000,,,,"200,000.00","200,000.00",
"Lisbon Angels SGPS, SA",509081517,"Waymedia, S.A.",63120,07-05-2012,50000,,,,"50,000.00","50,000.00",
PNV Capital,508993970,ZUVINOVA S. A.,58140,01-07-2011,120000,,,,"166,016.20","166,016.20",
PNV Capital,510060625,"WEBANKOR, Lda",62010,31-07-2013,100000,,,,"100,000.00","100,000.00",
PNV Capital,510346812,"Faber Ventures, S.A.",62090,19-12-2013,130000,,,,"167,250.00","167,250.00",
PNV Capital,510646778,Magnomics Lda,46900,26-05-2014,54000,,,,"108,400.00","108,400.00",
PNV Capital,510740480,Maps with Life,62010,14-08-2013,60000,,,,"60,000.00","60,000.00",
PNV Capital,510742971,"Global Inpakt, S.A",63110,14-08-2013,63000,,,,"62,500.00","62,500.00",
PNV Capital,510942571,Xhockware,62090,28-02-2014,51000,,,,"105,000.00","105,000.00",
RedStar,509667694,Nutri Ventures Corporations SA,59110,27-12-2010,494000,,,,"493,750.00","493,750.00",
Sequoia Saude e Tecnologia,508805759,"Critical Health,SA",58290,21-02-2011,225000,,,,"225,000.00","225,000.00",
"Shilling Capital Partners, Lda",509687040,"CELL2B - Advanced Therapeutics, S.A.",72110,10-08-2012,50000,,,,"50,000.00","50,000.00",
"Shilling Capital Partners, Lda",509955061,"Universityplaces, Servicos de Internet, Lda",63120,20-08-2012,150000,,,,"150,000.00","150,000.00",
"Shilling Capital Partners, Lda",509984568,"Youngstories, Lda",58290,11-02-2013,70000,,,,"70,000.00","70,000.00",
"Shilling Capital Partners, Lda",510346812,"Faber Ventures, S.A.",62090,19-12-2013,316000,,,,"316,000.00","316,000.00",
Smart Equity,510098371,Changing Experience,62090,05-08-2014,150000,,,,"333,333.33","333,333.33",
Smart Ventures Business Angels,509572200,"InovRetail, Lda",62020,18-10-2011,100000,,,,"185,000.00","185,000.00",
"TEX Risco, SGPS, SA",510252362,"Ecofoot - Ecological Coloration Solutions, Lda",20120,10-01-2013,500000,,,,"500,000.00","500,000.00",
"TIC Risco, SGPS, SA",510154212,Follow Inspiration,62010,18-08-2014,150000,,,,"150,000.00","150,000.00",
"Tagus Innovation for Growth SGPS, SA",,"Faber Ventures, S.A.",,,,,,,"300,000.00","300,000.00",
"IA - FCI Ciencias da Vida SGPS, SA",,"Biomode 2, S.A.",,,,,,,"181,034.40","181,034.40",
"Sail Away, Lda",,"Faber Ventures, S.A.",,,,,,,"199,999.50","199,999.50",
"New Ventures SGPS, SA",,Sword Health Lda,,,,,,,"125,000.00","125,000.00",
